dataset,train loss,val Loss,usyk train acc,fury train acc,usyk val acc,fury val acc,usyk f-score,fury f-score
KWB,2.132587268434722,0.9279616102576256,0.46111111111111114,0.43333333333333335,0.5148514851485149,0.5445544554455446,0.41942117288651937,0.429015561042434
KWB,1.8288632877941788,0.8180323019623756,0.63,0.52,0.6237623762376238,0.5742574257425742,0.5667034521348524,0.5398595081596996
KWB,1.3549136334452136,0.8538459585979581,0.7577777777777778,0.6655555555555556,0.6435643564356436,0.5841584158415841,0.6024479042350376,0.5095437601314089
KWB,1.0520614097858298,0.6206423752009869,0.8211111111111111,0.7633333333333333,0.7425742574257426,0.6435643564356436,0.7325640626398083,0.6400337127462996
KWB,0.6892067276198288,0.9758758023381233,0.91,0.84,0.6633663366336634,0.6039603960396039,0.6598945608846599,0.6128984991522409
KWB,0.45015230209663,0.8215836239978671,0.9377777777777778,0.9044444444444445,0.7425742574257426,0.6732673267326733,0.7358905931078938,0.6507926678542292
KWB,0.19432910608834233,0.92701814789325,0.9755555555555555,0.9677777777777777,0.7227722772277227,0.6633663366336634,0.7146903598411596,0.6553560508809659
KWB,0.12160233742204206,1.0806746480520815,0.9888888888888889,0.9888888888888889,0.7128712871287128,0.6732673267326733,0.7040434366017247,0.6572184141491072
KWB,0.10169262105020983,1.1342214758042246,0.9877777777777778,0.9888888888888889,0.6831683168316832,0.6237623762376238,0.6761395702172733,0.5938098011481818
KWB,0.08624262953626699,0.892807099968195,0.9855555555555555,0.9944444444444445,0.7722772277227723,0.7227722772277227,0.7697410330231058,0.7169280424469056
