KWB,Balanced,AUX
"[0.5762499999999999, 0.5663301309544233, 0.59, 0.6262982955937397, 0.58625, 0.6260502250021339, 0.7722772277227723, 0.7697410330231058]","[0.5589428115743905, 0.5737090410668444, 0.6027227158806107, 0.5410631065842272, 0.6103440419229893, 0.5783027351658928, 0.8072289156626506, 0.8065968100906872]","[0.5775, 0.5033044892270165, 0.5912499999999999, 0.5946012458566278, 0.5974999999999999, 0.6267135270194508, 0.6831683168316832, 0.645540386021651]"
"[0.65125, 0.6483231027069213, 0.6475000000000001, 0.6657060227318692, 0.6537499999999999, 0.6623453174556355, 0.7227722772277227, 0.7169280424469056]","[0.5996696286169969, 0.6299180437806026, 0.6253588516746411, 0.6964015182976558, 0.6253246753246753, 0.6719363280541241, 0.7108433734939759, 0.7079972721072971]","[0.63125, 0.6332150085382818, 0.65625, 0.6386433843852631, 0.6625, 0.6548673335985307, 0.5643564356435643, 0.5438774646695439]"
