dataset,train loss,val Loss,usyk train acc,fury train acc,usyk val acc,fury val acc,usyk f-score,fury f-score
Balanced,2.1886962552865348,1.0583960215250652,0.3785234899328859,0.39865771812080536,0.39759036144578314,0.39759036144578314,0.226215205650187,0.226215205650187
Balanced,1.9596284826596577,0.8334919114907583,0.5395973154362416,0.49798657718120803,0.6506024096385542,0.6265060240963856,0.6269331540711057,0.6226332356452837
Balanced,1.4125202298164368,0.8114488323529562,0.7060402684563758,0.6845637583892618,0.6867469879518072,0.6506024096385542,0.6815513326651257,0.6522759769729072
Balanced,0.7748180143535137,0.8889664113521576,0.8818791946308725,0.8630872483221477,0.7228915662650602,0.7349397590361446,0.727588296802467,0.7316131271785823
Balanced,0.5395430053273836,0.8796706149975458,0.9194630872483222,0.8939597315436242,0.8072289156626506,0.7108433734939759,0.8065968100906872,0.7079972721072971
Balanced,0.4439234621822834,1.0833049565553665,0.938255033557047,0.9248322147651007,0.7349397590361446,0.5662650602409639,0.7292245906703737,0.5672907564733991
Balanced,0.2427878032128016,1.0080355207125347,0.9570469798657718,0.959731543624161,0.7590361445783133,0.7108433734939759,0.756793774696371,0.7106391668368389
Balanced,0.1509132112065951,1.063700755437215,0.9812080536912752,0.9812080536912752,0.7349397590361446,0.6746987951807228,0.7386211512717537,0.6713825635174803
Balanced,0.11775515927001834,1.2635356386502583,0.9906040268456375,0.9812080536912752,0.7349397590361446,0.6385542168674698,0.7373493975903614,0.6259392972587213
Balanced,0.07716220027456681,1.203614056110382,0.9946308724832215,0.9892617449664429,0.7590361445783133,0.6626506024096386,0.7561746987951807,0.6584879389626738
