dataset,train loss,val Loss,usyk train acc,fury train acc,usyk val acc,fury val acc,usyk f-score,fury f-score
AUX,2.1160054001314887,1.0111513584852219,0.4411111111111111,0.4855555555555556,0.5247524752475248,0.4752475247524752,0.43784101680608317,0.4251128125725055
AUX,1.9701034734989036,0.8733155205845833,0.5388888888888889,0.4988888888888889,0.693069306930693,0.5346534653465347,0.6425091488740711,0.4594911104013627
AUX,1.5240656671852901,0.9819669127464294,0.7088888888888889,0.6444444444444445,0.6138613861386139,0.43564356435643564,0.6417394680644535,0.447841366129764
AUX,1.119600932659774,0.8718543201684952,0.8344444444444444,0.7322222222222222,0.6831683168316832,0.5643564356435643,0.645540386021651,0.5438774646695439
AUX,0.8192873410880566,0.99505864828825,0.8855555555555555,0.8077777777777778,0.6831683168316832,0.5544554455445545,0.6757014343349333,0.5316876282222817
AUX,0.5687219217933458,1.0573249384760857,0.9244444444444444,0.8666666666666667,0.6435643564356436,0.5841584158415841,0.651492283374679,0.5853454368305854
AUX,0.28734506994228937,1.101458827033639,0.9611111111111111,0.9455555555555556,0.693069306930693,0.5445544554455446,0.6953013432600214,0.5520876065152626
AUX,0.19991398570609503,1.4741552025079727,0.9744444444444444,0.9733333333333334,0.6237623762376238,0.504950495049505,0.6403359290177383,0.5012298071912454
AUX,0.13321864726985322,1.3742087595164776,0.9866666666666667,0.98,0.6138613861386139,0.5544554455445545,0.6376909771607374,0.5633716312807752
AUX,0.09714808963753026,1.6341581791639328,0.9833333333333333,0.9933333333333333,0.594059405940594,0.5247524752475248,0.61295483968931,0.5255932186625256
